id,job_title,department,p_start,start_month,p_end,end_month,grade,start_salary
1,Sr Backend Engineer,IT Department,2010,3,2016,10,7,120925
1,Team Lead,IT Department,2016,10,-99,-99,8,169699
2,Frontend Engineer II,IT Department,2011,12,2017,2,6,96256
2,Sr Frontend Engineer,IT Department,2017,2,-99,-99,7,120132
3,Data Analyst II,Analytics Department,2016,10,-99,-99,6,115457
4,Frontend Engineer II,IT Department,2016,9,-99,-99,6,96206
5,Sr Backend Engineer,IT Department,2012,2,2018,7,7,121025
5,Team Lead,IT Department,2018,7,-99,-99,8,169779
6,Sr Backend Engineer,IT Department,2017,11,-99,-99,7,121050
7,Data Analyst II,Analytics Department,2011,11,2017,9,6,115537
7,Data Scientist,Analytics Department,2017,9,-99,-99,7,149304
8,Sr Backend Engineer,IT Department,2012,8,2018,3,7,121100
8,Team Lead,IT Department,2018,3,-99,-99,8,169839
9,Sr Manager,Administration Department,2015,9,-99,-99,10,205684
10,Associate Frontend Engineer,IT Department,2011,2,2017,1,4,61642
10,Frontend Engineer,IT Department,2017,1,-99,-99,5,71262
11,Sr Backend Engineer,IT Department,2010,8,2016,8,7,121175
11,Team Lead,IT Department,2016,8,-99,-99,8,169899
12,Sr Manager,Administration Department,2011,11,2017,1,10,205744
12,Director,Administration Department,2017,1,-99,-99,12,422838
13,Associate Data Analyst,Analytics Department,2008,2,2014,7,4,65772
13,Data Analyst,Analytics Department,2014,7,2019,12,5,88404
13,Data Analyst II,Analytics Department,2019,12,-99,-99,6,115657
14,Associate Data Analyst,Analytics Department,2013,11,2019,2,4,65817
14,Data Analyst,Analytics Department,2019,2,-99,-99,5,88424
15,Associate Data Analyst,Analytics Department,2016,5,-99,-99,4,65852
16,Sr Backend Engineer,IT Department,2016,4,-99,-99,7,121300
17,Associate Data Analyst,Analytics Department,2011,7,2017,10,4,65867
17,Data Analyst,Analytics Department,2017,10,-99,-99,5,88484
18,Associate Frontend Engineer,IT Department,2009,1,2015,9,4,61436
18,Frontend Engineer,IT Department,2015,9,-99,-99,5,71062
19,Backend Engineer,IT Department,2014,12,-99,-99,5,71728
20,Sr Backend Engineer,IT Department,2011,12,2017,8,7,121400
20,Team Lead,IT Department,2017,8,-99,-99,8,170079
21,Frontend Engineer II,IT Department,2010,10,2016,10,6,95781
21,Sr Frontend Engineer,IT Department,2016,10,-99,-99,7,119657
22,Data Analyst II,Analytics Department,2015,8,-99,-99,6,115837
23,Sr Backend Engineer,IT Department,2016,9,-99,-99,7,121475
24,Data Analyst II,Analytics Department,2016,12,-99,-99,6,115877
25,Associate Frontend Engineer,IT Department,2012,5,2018,10,4,61270
25,Frontend Engineer,IT Department,2018,10,-99,-99,5,70887
26,Associate Data Analyst,Analytics Department,2012,5,2018,9,4,66052
26,Data Analyst,Analytics Department,2018,9,-99,-99,5,88664
27,Backend Engineer,IT Department,2011,9,2017,2,5,71928
27,Backend Engineer II,IT Department,2017,2,-99,-99,6,91710
28,Frontend Engineer II,IT Department,2015,11,-99,-99,6,95606
29,Associate Data Analyst,Analytics Department,2011,3,2017,4,4,66107
29,Data Analyst,Analytics Department,2017,4,-99,-99,5,88724
30,Backend Engineer,IT Department,2009,8,2015,2,5,72003
30,Backend Engineer II,IT Department,2015,2,-99,-99,6,91785
31,Backend Engineer,IT Department,2014,11,-99,-99,5,72028
32,Backend Engineer II,IT Department,2009,9,2015,7,6,91835
32,Sr Backend Engineer,IT Department,2015,7,-99,-99,7,121700
33,Associate Frontend Engineer,IT Department,2008,9,2014,2,4,61058
33,Frontend Engineer,IT Department,2014,2,2019,1,5,70687
33,Frontend Engineer II,IT Department,2019,1,-99,-99,6,95481
34,Backend Engineer,IT Department,2011,6,2017,4,5,72103
34,Backend Engineer II,IT Department,2017,4,-99,-99,6,91885
35,Backend Engineer,IT Department,2009,5,2015,12,5,72128
35,Backend Engineer II,IT Department,2015,12,-99,-99,6,91910
36,Associate Data Analyst,Analytics Department,2012,10,2018,12,4,66252
36,Data Analyst,Analytics Department,2018,12,-99,-99,5,88864
37,Data Analyst II,Analytics Department,2011,2,2017,4,6,116137
37,Data Scientist,Analytics Department,2017,4,-99,-99,7,149904
38,Sr Backend Engineer,IT Department,2011,9,2017,8,7,121850
38,Team Lead,IT Department,2017,8,-99,-99,8,170439
39,Frontend Engineer II,IT Department,2010,8,2016,1,6,95331
39,Sr Frontend Engineer,IT Department,2016,1,-99,-99,7,119207
40,Sr Backend Engineer,IT Department,2011,5,2017,8,7,121900
40,Team Lead,IT Department,2017,8,-99,-99,8,170479
41,Associate Frontend Engineer,IT Department,2011,7,2017,8,4,60867
41,Frontend Engineer,IT Department,2017,8,-99,-99,5,70487
42,Associate Data Analyst,Analytics Department,2015,3,-99,-99,4,66387
43,Associate Data Analyst,Analytics Department,2006,3,2012,7,4,66362
43,Data Analyst,Analytics Department,2012,7,2017,12,5,89004
43,Data Analyst II,Analytics Department,2017,12,-99,-99,6,116257
44,Backend Engineer,IT Department,2005,9,2011,10,5,72353
44,Backend Engineer II,IT Department,2011,10,2016,9,6,92135
44,Backend Engineer II,IT Department,2016,9,-99,-99,6,92135
45,Backend Engineer,IT Department,2012,12,2018,12,5,72378
45,Backend Engineer II,IT Department,2018,12,-99,-99,6,92160
